id,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,hum/temp,hum/atemp,hum/winspeed,weathersit2,weathersit3,cnt
1,1,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,2.341401122,2.216110003,5.022456153,1,0,985
2,1,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,2.217006256,2.278043982,3.242279884,1,0,801
3,1,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,4.103771567,4.254549774,3.245283095,0,0,1349
4,1,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,4.029165,3.79891289,5.027156011,0,0,1562
5,1,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,3.55059769,3.514777337,4.311573034,0,0,1600
6,1,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,3.943434729,3.455411241,8.99716631,0,0,1606
7,1,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,4.100472212,3.858632727,4.775985918,1,0,1510
8,1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,4.883836364,4.966490811,3.020318286,1,0,959
9,1,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,5.825312832,6.936371853,2.22636552,0,0,822
10,1,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,5.342551033,5.340603627,3.609279473,0,0,1321
11,1,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,4.76567647,4.208796432,6.598049651,1,0,1263
12,1,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,4.665356314,5.021611112,2.645310494,0,0,1162
13,1,1,0,4,1,1,0.165,0.150883,0.470417,0.301,4.883836364,5.340780605,2.677186047,0,0,1406
14,1,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,5.009218624,4.276950104,6.367805102,0,0,1421
15,1,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,3.453574934,3.247859837,5.101403493,1,0,1248
16,1,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,3.478410822,3.440540183,4.276496155,0,0,1204
17,1,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,4.582945181,4.558626698,4.153414392,1,0,1000
18,1,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,3.719223509,3.468439696,5.490260603,1,0,683
19,1,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,2.758058554,2.70031365,3.868301675,1,0,1650
20,1,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,3.079612637,3.1595099,4.113407587,1,0,1927
21,1,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,4.539904225,5.105605292,2.281249115,0,0,1543
22,1,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,13.6280661,10.19143893,4.685892888,0,0,981
